TDEP        DTCO       DTSM       PR         TICO       TISS       VP         VPVS       VS
2166.518   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2166.6704  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2166.8228  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2166.9752  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2167.1276  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2167.28    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2167.4324  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2167.5848  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2167.7372  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2167.8896  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2168.042   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2168.1944  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2168.3468  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2168.4992  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2168.6516  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2168.804   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2168.9564  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2169.1088  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2169.2612  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2169.4136  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2169.566   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2169.7184  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2169.8708  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2170.0232  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2170.1756  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2170.328   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2170.4804  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2170.6328  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2170.7852  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2170.9376  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2171.09    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2171.2424  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2171.3948  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2171.5472  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2171.6996  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2171.852   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2172.0044  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2172.1568  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2172.3092  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2172.4616  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2172.614   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2172.7664  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2172.9188  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2173.0712  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2173.2236  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2173.376   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2173.5284  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2173.6808  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2173.8332  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2173.9856  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2174.138   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2174.2904  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2174.4428  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2174.5952  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2174.7476  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2174.9     -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2175.0524  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2175.2048  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2175.3572  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2175.5096  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2175.662   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2175.8144  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2175.9668  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2176.1192  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2176.2716  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2176.424   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2176.5764  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2176.7288  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2176.8812  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2177.0336  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2177.186   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2177.3384  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2177.4908  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2177.6432  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2177.7956  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2177.948   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2178.1004  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2178.2528  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2178.4052  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2178.5576  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2178.71    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2178.8624  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2179.0148  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2179.1672  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2179.3196  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2179.472   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2179.6244  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2179.7768  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2179.9292  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
